DET17-01;9000-0001/18-1;31;291;Modernizacion y fortalecimiento tecnologico de los sistemas de prevencion y alerta temprana de los incendios de interfaz urbano-forestal de la ciudad de San Martin de los Andes;1157100;809300;347800;Municipalidad de San Martin de los Andes;Municipalidad de San Martin de los Andes. Universidad Nacional del Comahue. Asentamiento Universitario San Martin de los Andes (AUSMA), Catedra de Climatologia;avalada con financiamiento
DET17-02;9000-0001/18-2;31;334;Energias Alternativas (Parque Eolico) para optimizar y complementar el abastecimiento energetico de la localidad de Las Coloradas;2786000;1950000;836000;Municipalidad de Las Coloradas;Municipalidad de Las Coloradas. Universidad Nacional del Comahue. EPEN;avalada con financiamiento
DET17-03;9000-0001/18-3;31;2;Incorporacion de nuevas tecnologias para la construccion de pistas de salud en el taller de soldadura municipal. Ciudad de Plottier.;2359902;1651920;707982;Municipalidad de Plottier;Municipalidad de Plottier;avalada con financiamiento
DET17-04;9000-0001/18-4;31;1;Neuquen digital: Monitoreo ambiental para una ciudad inteligente y sostenible.;2270000;1588000;682000;Municipalidad de Neuquen ;Municipalidad de Neuquen, Subsecretaria de Ciencia y Tecnologia. (participa Unco y Davitel);avalada con financiamiento
DET17-05;9000-0001/18-5;31;291;Modernizacion y fortalecimiento tecnologico del laboratorio de aguas y bromatologia de la municipalidad de San Martin de los Andes para dar respuestas a las demandas de salud ambiental de los ciudadanos y visitantes.;1541841;1077841;464000;Municipalidad de San Martin de los Andes;Municipalidad de San Martin de los Andes;avalada con financiamiento
DET17-06;;31;324;Sistema de iluminacion para el ahorro energetico ;4474030;3348430;1256000;Municipalidad de Villa El Chocon ;Municipalidad de Villa El Chocon.;tiene campos sin completar y carece de firma. Se remite al beneficiario para su reformulacion.
ASE17-01;7900-1231/18-1;32;291;Innovacion Tecnologica en Servicios Turisticos de San Martin de los Andes ;2326000;1626500;699500;Municipalidad de San Martin de los Andes;Municipalidad de San Martin de los Andes. Nouvenergie, Patagonia Sustentable. COTESMA (Cooperativa Telefonica de San Martin de los Andes);avalada con financiamiento
ASE17-02;7900-1231/18-2;32;2;Circuito Agroturistico de ferias y establecimientos productivos. Corredor China Muerta - Plottier;1316000;921200;394800;Ministerio de Educacion. Centro de formacion Profesional Agropecuaria No 1, Plottier;Centro de Formacion Profesional Agropecuaria No 1, Plottier. AER INTA Centenario;avalada con financiamiento
ASE17-03;7900-1231/18-3;32;1;Nuevas Tecnologias, Montaje y Sistema de Iluminacion para el Museo Gregorio Alvarez;2496600;1748600;748000;Museo Gregorio Alvarez;Museo Gregorio alvarez, Municipalidad de Neuquen.;avalada con financiamiento
ASE17-04;7900-1231/18-4;32;2;Jardin botanico de la ciudad de Plottier;1331485,71;932040;399445,71;Municipalidad de Plottier;Municipalidad de Plottier;avalada con financiamiento
ASE17-05;7900-1231/18-6;32;324;Puesta en valor del Museo de sitio 'Las huellas';1052210;736547;315663;Municipalidad de Villa El Chocon;Municipalidad de Villa el Chocon;avalada con financiamiento
ASE17-06;;32;15;Desarrollo e implementacion de herramientas tecnologicas de distribucion digital de la oferta turistica de la Provincia del Neuquen;4125715;2888000;1237715;Camara de Hoteleros, Gastronomicos y Afines de Caviahue.;Camaras y/o Centros de Comercio, Industria, Produccion y Turismo de: Copahue, Villa Pehuenia, Alumine, Chos Malal, Junin de los Andes, Zapala, Cutral-Co, Plaza Huincul, San Patricio del Chañar, Plottier, Neuquen Capital. ;No se adecua a los requerimientos de las bases y condiciones. Se remite al beneficiario para su reformulacion.
ASE17-07;;32;291;Reserva natural urbana y ecoturistica Amigos de la Naturaleza;2813000;1948000;865000;Ramon Enrique Rementeria;AUSMA (UNCo). Fundacion Felix de Azara;No se adecua a los requerimientos de las bases y condiciones. Se remite al beneficiario para su reformulacion.
PFIP17-01;7900-1232/2018-1;33;335;Sistema de prospectiva forrajera para el manejo ganadero adaptativo frente a cambios ambientales en sistemas ganaderos extensivos de Neuquen;2984000;2000000;984000;INTA;Centro PYME ADENEU, INTA, EEA Bariloche, CONICET Patagonia Norte ;avalada con financiamiento
PFIP17-02;7900-1232/2018-2;33;1;Divesificacion de la matriz productiva con valor agregado en origen en poductores de la agricultura familiar . Asociacion de Fomento El Carancho ;2872600;2010000;862600;Asociacion de Fomento El Carancho;Secret. De Agricultura Familiar, Coordinacion y Desarrollo Territorial, Minist.de Agroindustria (Fundacion ArgenINTA), EPEN, Asociacion de Fomento Rural EL Carancho;avalada con financiamiento
